Country,League,Season,Date,Homeoraway,Team,TeamGoals,Opponent,OpponentGoals,Favourite,Result,TotalGoals,TeamOdds,DrawOdds,OpponentOdds,ResultBetWin,ResultBetDraw,ResultBetLose
SPAIN,LALIGA,20/21,2021/05/12,Home,Ath Madrid,2,Sociedad,1,Favourite,Win,3,1.6,4,5.5,0.6,-1,-1
GERMANY,BUND,20/21,2021/05/12,Home,Schalke 04,1,Hertha,2,NotFavourite,Lose,3,7,4.5,1.44,-1,-1,0.44
GERMANY,BUND,20/21,2021/05/12,Away,Hertha,2,Schalke 04,1,Favourite,Win,3,1.44,4.5,7,0.44,-1,-1
ENGLAND,PREM,20/21,2021/05/11,Home,Man United,1,Leicester,2,Favourite,Lose,3,2.5,3.4,2.8,-1,-1,1.8
ENGLAND,PREM,20/21,2021/05/11,Away,Crystal Palace,1,Southampton,3,NotFavourite,Lose,4,3.5,3.6,2.05,-1,-1,1.05
ENGLAND,PREM,20/21,2021/05/11,Home,Southampton,3,Crystal Palace,1,Favourite,Win,4,2.05,3.6,3.5,1.05,-1,-1
ENGLAND,PREM,20/21,2021/05/11,Away,Leicester,2,Man United,1,NotFavourite,Win,3,2.8,3.4,2.5,1.8,-1,-1
SPAIN,LALIGA,20/21,2021/05/11,Home,Elche,0,Alaves,2,NotFavourite,Lose,2,2.9,3,2.6,-1,-1,1.6
SPAIN,LALIGA,20/21,2021/05/11,Away,Cadiz,2,Osasuna,3,NotFavourite,Lose,5,4,3.4,1.95,-1,-1,0.95
SPAIN,LALIGA,20/21,2021/05/11,Home,Osasuna,3,Cadiz,2,Favourite,Win,5,1.95,3.4,4,0.95,-1,-1
SPAIN,LALIGA,20/21,2021/05/11,Home,Levante,3,Barcelona,3,NotFavourite,Draw,6,12,8,1.18,-1,7,-1
SPAIN,LALIGA,20/21,2021/05/11,Away,Alaves,2,Elche,0,Favourite,Win,2,2.6,3,2.9,1.6,-1,-1
SPAIN,LALIGA,20/21,2021/05/11,Away,Barcelona,3,Levante,3,Favourite,Draw,6,1.18,8,12,-1,7,-1
ENGLAND,PREM,20/21,2021/05/10,Home,Fulham,0,Burnley,2,Favourite,Lose,2,2.2,3.4,3.3,-1,-1,2.3
ENGLAND,PREM,20/21,2021/05/10,Away,Burnley,2,Fulham,0,NotFavourite,Win,2,3.3,3.4,2.2,2.3,-1,-1
SPAIN,LALIGA,20/21,2021/05/10,Away,Granada,1,Betis,2,NotFavourite,Lose,3,4.75,3.8,1.75,-1,-1,0.75
SPAIN,LALIGA,20/21,2021/05/10,Home,Betis,2,Granada,1,Favourite,Win,3,1.75,3.8,4.75,0.75,-1,-1
ENGLAND,PREM,20/21,2021/05/09,Away,Brighton,1,Wolves,2,Favourite,Lose,3,2.2,3.3,3.3,-1,-1,2.3
ENGLAND,PREM,20/21,2021/05/09,Home,West Ham,0,Everton,1,Favourite,Lose,1,2.2,3.5,3.2,-1,-1,2.2
ENGLAND,PREM,20/21,2021/05/09,Home,Aston Villa,1,Man United,3,NotFavourite,Lose,4,4.2,3.8,1.8,-1,-1,0.8
ENGLAND,PREM,20/21,2021/05/09,Away,West Brom,1,Arsenal,3,NotFavourite,Lose,4,7,4.5,1.44,-1,-1,0.44
ENGLAND,PREM,20/21,2021/05/09,Home,Wolves,2,Brighton,1,NotFavourite,Win,3,3.3,3.3,2.2,2.3,-1,-1
ENGLAND,PREM,20/21,2021/05/09,Home,Arsenal,3,West Brom,1,Favourite,Win,4,1.44,4.5,7,0.44,-1,-1
ENGLAND,PREM,20/21,2021/05/09,Away,Man United,3,Aston Villa,1,Favourite,Win,4,1.8,3.8,4.2,0.8,-1,-1
ENGLAND,PREM,20/21,2021/05/09,Away,Everton,1,West Ham,0,NotFavourite,Win,1,3.2,3.5,2.2,2.2,-1,-1
SPAIN,LALIGA,20/21,2021/05/09,Home,Villarreal,2,Celta,4,Favourite,Lose,6,1.95,3.6,3.8,-1,-1,2.8
SPAIN,LALIGA,20/21,2021/05/09,Home,Getafe,0,Eibar,1,Favourite,Lose,1,2.15,3.1,3.75,-1,-1,2.75
SPAIN,LALIGA,20/21,2021/05/09,Away,Valladolid,0,Valencia,3,NotFavourite,Lose,3,3.8,3.3,2.05,-1,-1,1.05
SPAIN,LALIGA,20/21,2021/05/09,Home,Valencia,3,Valladolid,0,Favourite,Win,3,2.05,3.3,3.8,1.05,-1,-1
SPAIN,LALIGA,20/21,2021/05/09,Home,Real Madrid,2,Sevilla,2,Favourite,Draw,4,1.9,3.75,3.75,-1,2.75,-1
SPAIN,LALIGA,20/21,2021/05/09,Away,Eibar,1,Getafe,0,NotFavourite,Win,1,3.75,3.1,2.15,2.75,-1,-1
SPAIN,LALIGA,20/21,2021/05/09,Away,Celta,4,Villarreal,2,NotFavourite,Win,6,3.8,3.6,1.95,2.8,-1,-1
