Country,League,Season,Date,Team,Homeoraway,TeamOdds,TeamScore,Opponent,OpponentOdds,OpponentScore,Result,Favourite,TotalScorePred,TotalScore,ResultBetWin,ResultBetLose,TotalfromPred,TeamWinPred,TeamScorePred,ScoredfromPred,OpponentWinPred,OpponentScorePred,ReceivedfromPred
USA,NBA,20/21,2020/12/30,Boston Celtics,Home,1.33,126,Memphis Grizzlies,3.44,107,Win,Favourite,228,233,0.33,-1,5,66%,117,9,34%,111,-4
USA,NBA,20/21,2020/12/30,Miami Heat,Home,3.15,119,Milwaukee Bucks,1.38,108,Win,NotFavourite,226,227,2.15,-1,1,46%,112,7,54%,114,-6
USA,NBA,20/21,2020/12/30,Los Angeles Clippers,Home,1.43,128,Portland Trail Blazers,2.96,105,Win,Favourite,231,233,0.43,-1,2,80%,121,7,20%,110,-5
USA,NBA,20/21,2020/12/31,Chicago Bulls,Away,3.4,133,Washington Wizards,1.34,130,Win,NotFavourite,229,263,2.4,-1,34,32%,111,22,68%,118,12
USA,NBA,20/21,2020/12/31,Cleveland Cavaliers,Away,3.64,99,Indiana Pacers,1.3,119,Lose,NotFavourite,231,218,-1,0.3,-13,32%,112,-13,68%,119,0
USA,NBA,20/21,2020/12/31,New Orleans Pelicans,Away,1.45,113,Oklahoma City Thunder,2.84,80,Win,Favourite,220,193,0.45,-1,-27,47%,109,4,53%,111,-31
USA,NBA,20/21,2020/12/31,New York Knicks,Away,3.97,83,Toronto Raptors,1.27,100,Lose,NotFavourite,216,183,-1,0.27,-33,27%,104,-21,73%,112,-12
USA,NBA,20/21,2020/12/31,Philadelphia 76ers,Away,1.6,116,Orlando Magic,2.42,92,Win,Favourite,220,208,0.6,-1,-12,46%,109,7,54%,111,-19
USA,NBA,20/21,2020/12/31,Phoenix Suns,Away,2.45,106,Utah Jazz,1.59,95,Win,NotFavourite,218,201,1.45,-1,-17,39%,107,-1,61%,111,-16
USA,NBA,20/21,2020/12/31,Sacramento Kings,Away,2.81,119,Houston Rockets,1.47,122,Lose,NotFavourite,231,241,-1,0.47,10,42%,114,5,58%,117,5
USA,NBA,20/21,2020/12/31,Washington Wizards,Home,1.34,130,Chicago Bulls,3.4,133,Lose,Favourite,229,263,-1,2.4,34,68%,118,12,32%,111,22
USA,NBA,20/21,2020/12/31,Indiana Pacers,Home,1.3,119,Cleveland Cavaliers,3.64,99,Win,Favourite,231,218,0.3,-1,-13,68%,119,0,32%,112,-13
USA,NBA,20/21,2020/12/31,Oklahoma City Thunder,Home,2.84,80,New Orleans Pelicans,1.45,113,Lose,NotFavourite,220,193,-1,0.45,-27,53%,111,-31,47%,109,4
USA,NBA,20/21,2020/12/31,Toronto Raptors,Home,1.27,100,New York Knicks,3.97,83,Win,Favourite,216,183,0.27,-1,-33,73%,112,-12,27%,104,-21
USA,NBA,20/21,2020/12/31,Orlando Magic,Home,2.42,92,Philadelphia 76ers,1.6,116,Lose,NotFavourite,220,208,-1,0.6,-12,54%,111,-19,46%,109,7
USA,NBA,20/21,2020/12/31,Utah Jazz,Home,1.59,95,Phoenix Suns,2.45,106,Lose,Favourite,218,201,-1,1.45,-17,61%,111,-16,39%,107,-1
USA,NBA,20/21,2020/12/31,Houston Rockets,Home,1.47,122,Sacramento Kings,2.81,119,Win,Favourite,231,241,0.47,-1,10,58%,117,5,42%,114,5
USA,NBA,20/21,2021/01/01,Atlanta Hawks,Away,3.08,114,Brooklyn Nets,1.4,96,Win,NotFavourite,230,210,2.08,-1,-20,34%,112,2,66%,118,-22
USA,NBA,20/21,2021/01/01,Boston Celtics,Away,1.26,93,Detroit Pistons,4.05,96,Lose,Favourite,222,189,-1,3.05,-33,59%,113,-20,41%,109,-13
USA,NBA,20/21,2021/01/01,Chicago Bulls,Away,9.07,96,Milwaukee Bucks,1.07,126,Lose,NotFavourite,228,222,-1,0.07,-6,12%,106,-10,88%,122,4
USA,NBA,20/21,2021/01/01,Los Angeles Clippers,Away,1.62,100,Utah Jazz,2.37,106,Lose,Favourite,222,206,-1,1.37,-16,58%,113,-13,42%,109,-3
USA,NBA,20/21,2021/01/01,Los Angeles Lakers,Away,1.3,109,San Antonio Spurs,3.63,103,Win,Favourite,233,212,0.3,-1,-21,50%,116,-7,50%,117,-14
USA,NBA,20/21,2021/01/01,Memphis Grizzlies,Away,2.59,108,Charlotte Hornets,1.54,93,Win,NotFavourite,226,201,1.59,-1,-25,45%,112,-4,55%,114,-21
USA,NBA,20/21,2021/01/01,Miami Heat,Away,1.81,83,Dallas Mavericks,2.06,93,Lose,Favourite,226,176,-1,1.06,-50,60%,115,-32,40%,111,-18
USA,NBA,20/21,2021/01/01,Phoenix Suns,Away,2.37,106,Denver Nuggets,1.62,103,Win,NotFavourite,223,209,1.37,-1,-14,51%,112,-6,49%,111,-8
USA,NBA,20/21,2021/01/01,Portland Trail Blazers,Away,1.61,123,Golden State Warriors,2.39,98,Win,Favourite,233,221,0.61,-1,-12,63%,119,4,37%,114,-16
USA,NBA,20/21,2021/01/01,Washington Wizards,Away,1.91,130,Minnesota Timberwolves,1.93,109,Win,Favourite,231,239,0.91,-1,8,32%,112,18,68%,119,-10
